timestamp,address,values
2025-11-24T15:56:02.336696,/muse/eeg,"[887.2527472527473, 778.8644688644689, 922.7106227106227, 804.2490842490843]"
2025-11-24T15:56:02.384223,/muse/gyro,"[2.8411865234375, -2.983245849609375, 8.194580078125]"
2025-11-24T15:56:02.446547,/muse/eeg,"[864.6886446886447, 837.6923076923077, 174.8717948717949, 787.7289377289378]"
2025-11-24T15:56:02.493525,/muse/elements/beta_relative,"[0.06955447510832259, 0.12009321568421961, 0.2615152154619236, 0.17112497381943648]"
2025-11-24T15:56:02.555292,/muse/acc,"[0.24114990234375, -0.16522216796875, 0.9857177734375]"
2025-11-24T15:56:02.617897,/muse/acc,"[0.2235107421875, -0.162353515625, 0.963134765625]"
2025-11-24T15:56:02.665475,/muse/eeg,"[770.4029304029305, 813.919413919414, 569.7435897435897, 788.1318681318681]"
2025-11-24T15:56:02.759395,/muse/is_good,"[0.0, 0.0, 0.0, 1.0]"
2025-11-24T15:56:02.868793,/muse/eeg,"[869.92673992674, 786.5201465201466, 867.1062271062272, 810.6959706959707]"
2025-11-24T15:56:02.945715,/muse/eeg,"[781.6849816849817, 789.3406593406594, 836.886446886447, 790.1465201465202]"
2025-11-24T15:56:02.977510,/muse/eeg,"[774.8351648351648, 800.2197802197802, 739.3772893772893, 756.3003663003664]"
2025-11-24T15:56:03.008989,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:03.071536,/muse/eeg,"[755.0915750915751, 795.7875457875458, 688.6080586080586, 791.7582417582418]"
2025-11-24T15:56:03.148342,/muse/eeg,"[774.8351648351648, 789.3406593406594, 831.6483516483516, 790.1465201465202]"
2025-11-24T15:56:03.242008,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:03.352386,/muse/eeg,"[824.7985347985348, 809.4871794871796, 697.0695970695971, 773.2234432234433]"
2025-11-24T15:56:03.382685,/muse/gyro,"[5.719757080078125, -3.33465576171875, 2.983245849609375]"
2025-11-24T15:56:03.413880,/muse/gyro,"[4.2169189453125, -3.09539794921875, 2.61688232421875]"
2025-11-24T15:56:03.475474,/muse/gyro,"[3.18511962890625, -3.357086181640625, 1.4056396484375]"
2025-11-24T15:56:03.538537,/muse/acc,"[0.194580078125, -0.136962890625, 0.98651123046875]"
2025-11-24T15:56:03.584905,/muse/acc,"[0.175537109375, -0.14373779296875, 0.97625732421875]"
2025-11-24T15:56:03.647259,/muse/eeg,"[816.3369963369963, 764.7619047619048, 899.7435897435897, 809.0842490842491]"
2025-11-24T15:56:03.709448,/muse/eeg,"[761.941391941392, 801.4285714285714, 743.4065934065934, 813.1135531135532]"
2025-11-24T15:56:03.755651,/muse/acc,"[0.1656494140625, -0.14495849609375, 0.97247314453125]"
2025-11-24T15:56:03.818227,/muse/eeg,"[826.4102564102565, 793.3699633699634, 879.5970695970697, 807.0695970695971]"
2025-11-24T15:56:03.833767,/muse/eeg,"[786.9230769230769, 756.7032967032967, 814.3223443223443, 789.7435897435897]"
2025-11-24T15:56:03.926769,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:04.005076,/muse/eeg,"[724.8717948717949, 806.2637362637363, 767.5824175824176, 723.6630036630037]"
2025-11-24T15:56:04.082400,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:04.160617,/muse/gyro,"[3.24493408203125, -0.418701171875, 2.056121826171875]"
2025-11-24T15:56:04.222888,/muse/eeg,"[869.1208791208792, 774.4322344322345, 720.8424908424909, 871.941391941392]"
2025-11-24T15:56:04.284749,/muse/eeg,"[870.7326007326008, 776.4468864468864, 900.5494505494506, 816.7399267399268]"
2025-11-24T15:56:04.439546,/muse/eeg,"[833.2600732600733, 810.6959706959707, 788.5347985347986, 804.2490842490843]"
2025-11-24T15:56:04.486683,/muse/eeg,"[811.9047619047619, 778.8644688644689, 700.6959706959707, 778.0586080586081]"
2025-11-24T15:56:04.564525,/muse/eeg,"[763.5531135531136, 796.1904761904763, 745.8241758241759, 757.1062271062272]"
2025-11-24T15:56:04.626548,/muse/gyro,"[4.747772216796875, -1.4654541015625, -2.10845947265625]"
2025-11-24T15:56:04.689590,/muse/eeg,"[796.5934065934066, 770.8058608058608, 1074.6153846153848, 788.5347985347986]"
2025-11-24T15:56:04.782647,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:04.845735,/muse/eeg,"[826.007326007326, 770.0, 1075.018315018315, 811.0989010989011]"
2025-11-24T15:56:04.907827,/muse/gyro,"[3.409423828125, -5.764617919921875, -7.0281982421875]"
2025-11-24T15:56:04.922877,/muse/eeg,"[875.5677655677656, 787.3260073260074, 1035.128205128205, 831.2454212454213]"
2025-11-24T15:56:04.985559,/muse/eeg,"[863.4798534798535, 797.8021978021978, 656.7765567765568, 811.5018315018315]"
2025-11-24T15:56:05.032871,/muse/eeg,"[819.96336996337, 790.952380952381, 894.908424908425, 802.2344322344322]"
2025-11-24T15:56:05.064269,/muse/eegAux,"[nan, nan, 0.0, 0.0]"
2025-11-24T15:56:05.140662,/muse/eeg,"[800.2197802197802, 791.3553113553114, 1264.3956043956043, 818.3516483516484]"
2025-11-24T15:56:05.186826,/muse/eeg,"[770.8058608058608, 785.7142857142858, 745.8241758241759, 773.6263736263736]"
